C_Vale;C_Mesu;D_Vale;N_Vale;L_Etat
1153421;3020;28/05/2021 15:04;61;1
1153465;3019;28/05/2021 15:04;16;1
1153509;3018;28/05/2021 15:04;52;1
1153553;3017;28/05/2021 15:04;6656;1
1153597;3016;28/05/2021 15:04;41216;1
1153641;3015;28/05/2021 15:04;1;1
1153422;3020;28/05/2021 15:29;63;1
1153466;3019;28/05/2021 15:29;16;1
1153510;3018;28/05/2021 15:29;48;1
1153554;3017;28/05/2021 15:29;6656;1
1153598;3016;28/05/2021 15:29;41216;1
1153642;3015;28/05/2021 15:29;1;1
1153319;3023;28/05/2021 15:34;1.34694;1
1153353;3022;28/05/2021 15:34;33;1
1153387;3021;28/05/2021 15:34;5.52901;1
1153643;3015;28/05/2021 15:34;1;1
1153719;3014;28/05/2021 15:34;33;1
1153753;3013;28/05/2021 15:34;3.5;1
1153787;3012;28/05/2021 15:34;2.6;1
1153821;3011;28/05/2021 15:34;3.4;1
1153855;3010;28/05/2021 15:34;31;1
1153889;3009;28/05/2021 15:34;33;1
1153923;3008;28/05/2021 15:34;66;1
1153957;3007;28/05/2021 15:34;49;1
1153423;3020;28/05/2021 16:09;63;1
1153467;3019;28/05/2021 16:09;16;1
1153511;3018;28/05/2021 16:09;48;1
1153555;3017;28/05/2021 16:09;6912;1
1153599;3016;28/05/2021 16:09;41216;1
1153644;3015;28/05/2021 16:09;1;1
1153424;3020;28/05/2021 16:29;65;1
1153468;3019;28/05/2021 16:29;14;1
1153512;3018;28/05/2021 16:29;48;1
1153556;3017;28/05/2021 16:29;6912;1
1153600;3016;28/05/2021 16:29;41216;1
1153645;3015;28/05/2021 16:29;1;1
1153320;3023;28/05/2021 16:49;1.38;1
1153354;3022;28/05/2021 16:49;34;1
1153388;3021;28/05/2021 16:49;5.90678;1
1153646;3015;28/05/2021 16:49;1;1
1153720;3014;28/05/2021 16:49;35;1
1153754;3013;28/05/2021 16:49;3.8;1
1153788;3012;28/05/2021 16:49;2.6;1
1153822;3011;28/05/2021 16:49;3.7;1
1153856;3010;28/05/2021 16:49;32;1
1153890;3009;28/05/2021 16:49;33;1
1153924;3008;28/05/2021 16:49;69;1
1153958;3007;28/05/2021 16:49;50;1
1153425;3020;28/05/2021 17:14;65;1
1153469;3019;28/05/2021 17:14;14;1
1153513;3018;28/05/2021 17:14;48;1
1153557;3017;28/05/2021 17:14;7168;1
1153601;3016;28/05/2021 17:14;41216;1
1153647;3015;28/05/2021 17:14;1;1
1153321;3023;28/05/2021 17:49;1.4;1
1153355;3022;28/05/2021 17:49;34;1
1153389;3021;28/05/2021 17:49;6.46916;1
1153648;3015;28/05/2021 17:49;1;1
1153721;3014;28/05/2021 17:49;35;1
1153755;3013;28/05/2021 17:49;4.2;1
1153789;3012;28/05/2021 17:49;3;1
1153823;3011;28/05/2021 17:49;3.9;1
1153857;3010;28/05/2021 17:49;33;1
1153891;3009;28/05/2021 17:49;33;1
1153925;3008;28/05/2021 17:49;70;1
1153959;3007;28/05/2021 17:49;50;1
1153426;3020;28/05/2021 17:49;67;1
1153470;3019;28/05/2021 17:49;20;1
1153514;3018;28/05/2021 17:49;52;1
1153558;3017;28/05/2021 17:49;7168;1
1153602;3016;28/05/2021 17:49;41216;1
1153649;3015;28/05/2021 17:49;1;1
1153427;3020;28/05/2021 17:59;67;1
1153471;3019;28/05/2021 17:59;20;1
1153515;3018;28/05/2021 17:59;52;1
1153559;3017;28/05/2021 17:59;7424;1
1153603;3016;28/05/2021 17:59;41216;1
1153650;3015;28/05/2021 17:59;1;1
1153322;3023;28/05/2021 18:09;1.4;1
1153356;3022;28/05/2021 18:09;34;1
1153390;3021;28/05/2021 18:09;6.46916;1
1153651;3015;28/05/2021 18:09;1;1
1153722;3014;28/05/2021 18:09;35;1
1153756;3013;28/05/2021 18:09;4.2;1
1153790;3012;28/05/2021 18:09;3;1
1153824;3011;28/05/2021 18:09;3.9;1
1153858;3010;28/05/2021 18:09;33;1
1153892;3009;28/05/2021 18:09;33;1
1153926;3008;28/05/2021 18:09;70;1
1153960;3007;28/05/2021 18:09;50;1
1153323;3023;28/05/2021 18:49;1.44898;1
1153357;3022;28/05/2021 18:49;33;1
1153391;3021;28/05/2021 18:49;6.73869;1
1153652;3015;28/05/2021 18:49;1;1
1153723;3014;28/05/2021 18:49;33;1
1153757;3013;28/05/2021 18:49;4.2;1
1153791;3012;28/05/2021 18:49;2.9;1
1153825;3011;28/05/2021 18:49;4.4;1
1153859;3010;28/05/2021 18:49;34;1
1153893;3009;28/05/2021 18:49;33;1
1153927;3008;28/05/2021 18:49;71;1
1153961;3007;28/05/2021 18:49;49;1
1153428;3020;28/05/2021 18:49;69;1
1153472;3019;28/05/2021 18:49;20;1
1153516;3018;28/05/2021 18:49;52;1
C_Vale;C_Mesu;D_Vale;N_Vale;L_Etat
1153560;3017;28/05/2021 18:49;7424;1
1153604;3016;28/05/2021 18:49;41216;1
1153653;3015;28/05/2021 18:49;1;1
1153324;3023;28/05/2021 19:29;1.35417;1
1153358;3022;28/05/2021 19:29;32.5;1
1153392;3021;28/05/2021 19:29;5.78965;1
1153654;3015;28/05/2021 19:29;1;1
1153724;3014;28/05/2021 19:29;32;1
1153758;3013;28/05/2021 19:29;3.6;1
1153792;3012;28/05/2021 19:29;3;1
1153826;3011;28/05/2021 19:29;3.4;1
1153860;3010;28/05/2021 19:29;35;1
1153894;3009;28/05/2021 19:29;33;1
1153928;3008;28/05/2021 19:29;65;1
1153962;3007;28/05/2021 19:29;48;1
1153429;3020;28/05/2021 19:39;71;1
1153473;3019;28/05/2021 19:39;16;1
1153517;3018;28/05/2021 19:39;52;1
1153561;3017;28/05/2021 19:39;7680;1
1153605;3016;28/05/2021 19:39;41216;1
1153655;3015;28/05/2021 19:39;1;1
1153430;3020;29/05/2021 08:59;97;1
1153474;3019;29/05/2021 08:59;15;1
1153518;3018;29/05/2021 08:59;48;1
1153562;3017;29/05/2021 08:59;11264;1
1153606;3016;29/05/2021 08:59;41216;1
1153656;3015;29/05/2021 08:59;1;1
1153431;3020;29/05/2021 10:49;101;1
1153475;3019;29/05/2021 10:49;18;1
1153519;3018;29/05/2021 10:49;52;1
1153563;3017;29/05/2021 10:49;11520;1
1153607;3016;29/05/2021 10:49;41216;1
1153657;3015;29/05/2021 10:49;1;1
1153325;3023;29/05/2021 11:44;1.44898;1
1153359;3022;29/05/2021 11:44;29.5;1
1153393;3021;29/05/2021 11:44;6.36082;1
