D_Vale,Vibration TOTAL
2021-05-28 15:34:00,5.52901
2021-05-28 16:49:00,5.90678
2021-05-28 17:49:00,6.46916
2021-05-28 18:09:00,6.46916
2021-05-28 18:49:00,6.73869
2021-05-28 19:29:00,5.78965
2021-05-29 11:44:00,6.36082
2021-05-29 12:39:00,6.28013
2021-05-29 13:39:00,7.33348
2021-05-29 13:59:00,7.33348
2021-05-29 15:19:00,5.04083
2021-05-29 15:34:00,5.23641
2021-05-29 17:19:00,5.68859
2021-05-29 17:44:00,6.22656
2021-05-30 02:34:00,8.91123
2021-05-30 09:39:00,6.6106
2021-05-30 11:19:00,7.1239
2021-05-30 12:49:00,5.42125
2021-05-30 13:34:00,6.90724
2021-05-30 14:04:00,6.90724
2021-05-30 14:34:00,6.29762
2021-05-30 15:09:00,6.29762
2021-05-30 15:34:00,6.03821
2021-05-30 16:14:00,6.03821
2021-05-30 17:04:00,5.83866
2021-05-30 18:09:00,7.34166
2021-05-30 18:49:00,5.85235
2021-05-30 19:04:00,5.85235
2021-05-31 09:54:00,6.39844
2021-05-31 10:39:00,6.4195
2021-05-31 11:19:00,6.4195
2021-05-31 11:39:00,5.42955
2021-05-31 12:44:00,5.87622
2021-05-31 14:14:00,4.94773
2021-05-31 14:59:00,6.3671
2021-05-31 15:39:00,7.12461
2021-05-31 17:39:00,5.92115
2021-05-31 18:39:00,6.8942
2021-06-01 08:29:00,7.10352
2021-06-01 10:04:00,7.09084
2021-06-01 10:49:00,6.70075
2021-06-01 12:07:00,6.38279
2021-06-01 13:02:00,5.69386
2021-06-01 13:42:00,6.41716
2021-06-01 14:57:00,5.80345
2021-06-01 15:42:00,5.62939
2021-06-01 16:57:00,5.76281
2021-06-03 11:12:00,8.69483
2021-06-03 12:07:00,7.26774
2021-06-03 13:22:00,6.8884
2021-06-03 13:52:00,7.26154
2021-06-03 16:37:00,7.44983
2021-06-03 19:17:00,7.39595
2021-06-04 11:47:00,6.73498
2021-06-04 12:02:00,7.93851
2021-06-05 11:42:00,7.14493
2021-06-05 12:57:00,6.15305
2021-06-05 17:27:00,6.29285
2021-06-07 11:32:00,7.0739
2021-06-07 12:32:00,7.52728
2021-06-07 13:02:00,7.28629
2021-06-07 15:17:00,5.44243
2021-06-08 10:42:00,7.57694
2021-06-08 11:17:00,7.33757
2021-06-08 12:57:00,8.68389
2021-06-08 15:42:00,6.47611
2021-06-09 10:53:00,6.75944
2021-06-09 11:38:00,6.74833
2021-06-09 12:38:00,6.12862
2021-06-09 14:23:00,5.38238
2021-06-09 14:48:00,5.38238
2021-06-09 15:23:00,6.41015
2021-06-09 16:38:00,6.14736
2021-06-09 17:23:00,6.39453
2021-06-09 18:23:00,5.728
2021-06-09 19:58:00,5.60714
2021-06-10 09:18:00,6.41483
2021-06-10 10:33:00,6.47611
2021-06-10 11:18:00,5.94895
2021-06-10 12:18:00,6.18142
2021-06-10 13:33:00,6.59242
2021-06-10 15:48:00,6.17252
2021-06-10 16:43:00,5.2811
2021-06-10 17:53:00,5.84209
2021-06-10 18:23:00,6.16117
2021-06-10 19:28:00,6.15467
2021-06-10 20:18:00,6.30635
2021-06-11 09:08:00,6.60379
2021-06-11 09:48:00,6.06877
2021-06-11 10:33:00,6.67907
2021-06-11 11:23:00,7.18888
2021-06-11 12:48:00,5.46809
2021-06-11 13:58:00,6.1327
2021-06-11 14:18:00,6.50769
2021-06-11 16:23:00,4.95883
2021-06-11 21:13:00,6.31348
2021-06-12 09:28:00,6.57343
2021-06-12 10:23:00,6.10819
2021-06-12 11:48:00,7.57166
2021-06-12 14:33:00,6.64003
2021-06-12 15:23:00,6.56734
2021-06-12 17:03:00,5.88727
2021-06-12 17:28:00,6.253
2021-06-12 18:31:00,6.35453
2021-06-13 09:06:00,5.89491
2021-06-13 09:21:00,5.95483
2021-06-13 09:46:00,5.95483
2021-06-13 10:21:00,6.88331
2021-06-13 13:06:00,7.40945
2021-06-13 14:26:00,6.33246
2021-06-13 17:46:00,6.36632
2021-06-14 08:36:00,7.65049
2021-06-14 10:56:00,5.75674
2021-06-14 11:36:00,5.4037
2021-06-14 13:21:00,5.19038
2021-06-14 13:26:00,5.51453
2021-06-14 14:46:00,6.08605
2021-06-14 15:31:00,5.11664
2021-06-14 16:06:00,5.11664
2021-06-14 16:26:00,5.53624
2021-06-14 17:36:00,5.59375
2021-06-14 18:26:00,6.08441
2021-06-15 08:41:00,5.53353
2021-06-15 10:11:00,4.97192
2021-06-15 10:56:00,5.27826
2021-06-15 11:41:00,5.04579
2021-06-15 12:56:00,5.15461
2021-06-15 13:36:00,5.47175
2021-06-15 14:11:00,5.47175
2021-06-15 14:46:00,5.46809
2021-06-15 15:31:00,5.49272
2021-06-15 16:56:00,5.004
2021-06-15 17:51:00,5.0319
2021-06-15 18:51:00,5.14296
2021-06-15 19:16:00,5.14296
2021-06-16 09:31:00,5.42955
2021-06-16 09:56:00,5.70175
2021-06-16 11:36:00,5.32447
2021-06-16 14:16:00,5.24309
2021-06-16 14:56:00,5.3376
2021-06-16 15:46:00,5.5254
2021-06-17 11:06:00,5.19519
2021-06-18 10:16:00,5.43783
2021-06-19 14:46:00,5.65243
2021-06-19 16:11:00,5.14296
2021-06-19 16:56:00,5.20481
2021-06-20 09:17:00,5.64801
2021-06-20 10:07:00,5.44151
2021-06-20 10:52:00,5.8112
2021-06-20 17:07:00,5.56597
2021-06-21 09:27:00,5.80172
2021-06-21 09:52:00,5.56687
2021-06-21 11:27:00,5.47905
2021-06-21 12:22:00,5.84722
2021-06-21 13:52:00,5.81464
2021-06-21 15:07:00,6.35846
2021-06-21 16:12:00,5.05767
2021-06-21 17:07:00,6.65132
2021-06-21 18:22:00,5.68331
2021-06-21 19:42:00,5.92874
2021-06-22 10:27:00,5.56597
2021-06-22 11:12:00,6.33325
2021-06-22 12:12:00,6.01498
2021-06-22 13:42:00,5.5263
2021-06-22 14:02:00,5.18941
2021-06-22 15:52:00,5.37587
2021-06-22 17:02:00,5.53805
2021-06-22 17:57:00,5.50091
2021-06-22 20:07:00,5.004
2021-06-23 14:07:00,5.18748
2021-06-24 06:42:00,6.11065
2021-06-24 09:37:00,5.42125
2021-06-24 10:12:00,5.05767
2021-06-24 11:07:00,5.93127
2021-06-24 12:22:00,5.30094
2021-06-24 14:27:00,5.54437
2021-06-24 15:17:00,5.20481
2021-06-24 18:37:00,5.79483
2021-06-24 23:17:00,5.39073
2021-06-25 12:52:00,5.56866
2021-06-25 15:17:00,5.06063
2021-06-25 16:42:00,5.72276
2021-06-25 17:27:00,5.94222
2021-06-25 19:57:00,5.61516
2021-06-26 12:12:00,6.56201
2021-06-26 13:07:00,5.97076
2021-06-26 14:27:00,5.67362
2021-06-26 15:12:00,5.1264
2021-06-26 16:09:00,6.18142
2021-06-26 17:29:00,5.97662
2021-06-26 18:09:00,5.60892
2021-06-26 19:09:00,5.34883
2021-06-26 21:04:00,5.65685
2021-06-27 10:44:00,5.87282
2021-06-27 12:39:00,5.4231
2021-06-27 13:34:00,5.65685
2021-06-27 14:14:00,4.999
2021-06-27 15:09:00,4.999
2021-06-27 15:14:00,5.70175
2021-06-27 16:19:00,5.45985
2021-06-27 17:14:00,5.2469
2021-06-27 18:14:00,5.91692
2021-06-27 19:24:00,5.75674
2021-06-29 09:34:00,6.01664
2021-06-29 10:44:00,5.53986
2021-06-29 11:29:00,4.62817
2021-06-29 12:14:00,4.62817
2021-06-29 12:44:00,6.05392
