D_Vale,Vibration TOTAL
2021-05-28 15:34:41,5.52901
2021-05-28 16:49:41,5.90678
2021-05-28 17:49:42,6.46916
2021-05-28 18:09:42,6.46916
2021-05-28 18:49:42,6.73869
2021-05-28 19:29:42,5.78965
2021-05-29 11:44:45,6.36082
2021-05-29 12:39:45,6.28013
2021-05-29 13:39:45,7.33348
2021-05-29 13:59:45,7.33348
2021-05-29 15:19:45,5.04083
2021-05-29 15:34:45,5.23641
2021-05-29 17:19:46,5.68859
2021-05-29 17:44:46,6.22656
2021-05-30 02:34:47,8.91123
2021-05-30 09:39:49,6.6106
2021-05-30 11:19:49,7.1239
2021-05-30 12:49:49,5.42125
2021-05-30 13:34:49,6.90724
2021-05-30 14:04:49,6.90724
2021-05-30 14:34:50,6.29762
2021-05-30 15:09:50,6.29762
2021-05-30 15:34:50,6.03821
2021-05-30 16:14:50,6.03821
2021-05-30 17:04:50,5.83866
2021-05-30 18:09:50,7.34166
2021-05-30 18:49:50,5.85235
2021-05-30 19:04:50,5.85235
2021-05-31 09:54:53,6.39844
2021-05-31 10:39:53,6.4195
2021-05-31 11:19:53,6.4195
2021-05-31 11:39:53,5.42955
2021-05-31 12:44:54,5.87622
2021-05-31 14:14:54,4.94773
2021-05-31 14:59:54,6.3671
2021-05-31 15:39:54,7.12461
2021-05-31 17:39:54,5.92115
2021-05-31 18:39:55,6.8942
2021-06-01 08:29:57,7.10352
2021-06-01 10:04:57,7.09084
2021-06-01 10:49:57,6.70075
2021-06-01 12:07:32,6.38279
2021-06-01 13:02:25,5.69386
2021-06-01 13:42:25,6.41716
2021-06-01 14:57:26,5.80345
2021-06-01 15:42:26,5.62939
2021-06-01 16:57:26,5.76281
2021-06-03 11:12:34,8.69483
2021-06-03 12:07:34,7.26774
2021-06-03 13:22:34,6.8884
2021-06-03 13:52:34,7.26154
2021-06-03 16:37:35,7.44983
2021-06-03 19:17:35,7.39595
2021-06-04 11:47:38,6.73498
2021-06-04 12:02:38,7.93851
2021-06-05 11:42:43,7.14493
2021-06-05 12:57:43,6.15305
2021-06-05 17:27:44,6.29285
2021-06-07 11:32:51,7.0739
2021-06-07 12:32:51,7.52728
2021-06-07 13:02:51,7.28629
2021-06-07 15:17:52,5.44243
2021-06-08 10:42:55,7.57694
2021-06-08 11:17:55,7.33757
2021-06-08 12:57:56,8.68389
2021-06-08 15:42:56,6.47611
2021-06-09 10:53:00,6.75944
2021-06-09 11:38:00,6.74833
2021-06-09 12:38:00,6.12862
2021-06-09 14:23:00,5.38238
2021-06-09 14:48:01,5.38238
2021-06-09 15:23:01,6.41015
2021-06-09 16:38:01,6.14736
2021-06-09 17:23:01,6.39453
2021-06-09 18:23:01,5.728
2021-06-09 19:58:01,5.60714
2021-06-10 09:18:04,6.41483
2021-06-10 10:33:04,6.47611
2021-06-10 11:18:04,5.94895
2021-06-10 12:18:05,6.18142
2021-06-10 13:33:05,6.59242
2021-06-10 15:48:05,6.17252
2021-06-10 16:43:05,5.2811
2021-06-10 17:53:06,5.84209
2021-06-10 18:23:06,6.16117
2021-06-10 19:28:06,6.15467
2021-06-10 20:18:06,6.30635
2021-06-11 09:08:08,6.60379
2021-06-11 09:48:08,6.06877
2021-06-11 10:33:09,6.67907
2021-06-11 11:23:09,7.18888
2021-06-11 12:48:09,5.46809
2021-06-11 13:58:09,6.1327
2021-06-11 14:18:09,6.50769
2021-06-11 16:23:10,4.95883
2021-06-11 21:13:10,6.31348
2021-06-12 09:28:13,6.57343
2021-06-12 10:23:13,6.10819
2021-06-12 11:48:13,7.57166
2021-06-12 14:33:14,6.64003
2021-06-12 15:23:14,6.56734
2021-06-12 17:03:14,5.88727
2021-06-12 17:28:14,6.253
2021-06-12 18:31:26,6.35453
2021-06-13 09:06:29,5.89491
2021-06-13 09:21:29,5.95483
2021-06-13 09:46:29,5.95483
2021-06-13 10:21:29,6.88331
2021-06-13 13:06:30,7.40945
2021-06-13 14:26:30,6.33246
2021-06-13 17:46:31,6.36632
2021-06-14 08:36:33,7.65049
2021-06-14 10:56:34,5.75674
2021-06-14 11:36:34,5.4037
2021-06-14 13:21:34,5.19038
2021-06-14 13:26:34,5.51453
2021-06-14 14:46:35,6.08605
2021-06-14 15:31:35,5.11664
2021-06-14 16:06:35,5.11664
2021-06-14 16:26:35,5.53624
2021-06-14 17:36:35,5.59375
2021-06-14 18:26:35,6.08441
2021-06-15 08:41:38,5.53353
2021-06-15 10:11:38,4.97192
2021-06-15 10:56:38,5.27826
2021-06-15 11:41:39,5.04579
2021-06-15 12:56:39,5.15461
2021-06-15 13:36:39,5.47175
2021-06-15 14:11:39,5.47175
2021-06-15 14:46:39,5.46809
2021-06-15 15:31:39,5.49272
2021-06-15 16:56:39,5.004
2021-06-15 17:51:40,5.0319
2021-06-15 18:51:40,5.14296
2021-06-15 19:16:40,5.14296
2021-06-16 09:31:42,5.42955
2021-06-16 09:56:43,5.70175
2021-06-16 11:36:43,5.32447
2021-06-16 14:16:43,5.24309
2021-06-16 14:56:43,5.3376
2021-06-16 15:46:44,5.5254
2021-06-17 11:06:47,5.19519
