C_Vale;C_Mesu;D_Vale;N_Vale;L_Etat
1153319;3023;2021-05-28 15:34:41;1.34694;1
1153320;3023;2021-05-28 16:49:41;1.38;1
1153321;3023;2021-05-28 17:49:42;1.4;1
1153322;3023;2021-05-28 18:09:42;1.4;1
1153323;3023;2021-05-28 18:49:42;1.44898;1
1153324;3023;2021-05-28 19:29:42;1.35417;1
1153325;3023;2021-05-29 11:44:45;1.44898;1
1153326;3023;2021-05-29 12:39:45;1.4898;1
1153327;3023;2021-05-29 13:39:45;1.40816;1
1153328;3023;2021-05-29 13:59:45;1.40816;1
1153329;3023;2021-05-29 15:19:45;1.42857;1
1153330;3023;2021-05-29 15:34:45;1.42;1
1153331;3023;2021-05-29 17:19:46;1.42;1
1153332;3023;2021-05-29 17:44:46;1.34694;1
1153333;3023;2021-05-30 02:34:47;1.32609;1
1153334;3023;2021-05-30 09:39:49;1.52083;1
1153335;3023;2021-05-30 11:19:49;1.44898;1
1153336;3023;2021-05-30 12:49:49;1.42857;1
1153337;3023;2021-05-30 13:34:49;1.5;1
1153338;3023;2021-05-30 14:04:49;1.5;1
1153339;3023;2021-05-30 14:34:50;1.42;1
1153340;3023;2021-05-30 15:09:50;1.42;1
1153341;3023;2021-05-30 15:34:50;1.48;1
1153342;3023;2021-05-30 16:14:50;1.48;1
1153343;3023;2021-05-30 17:04:50;1.35294;1
1153344;3023;2021-05-30 18:09:50;1.4;1
1153345;3023;2021-05-30 18:49:50;1.44898;1
1153346;3023;2021-05-30 19:04:50;1.44898;1
1153347;3023;2021-05-31 09:54:53;1.44898;1
1153348;3023;2021-05-31 10:39:53;1.5102;1
1153349;3023;2021-05-31 11:19:53;1.5102;1
1153350;3023;2021-05-31 11:39:53;1.42;1
1153351;3023;2021-05-31 12:44:54;1.42857;1
1153352;3023;2021-05-31 14:14:54;1.43137;1
1153353;3022;2021-05-28 15:34:41;33;1
1153354;3022;2021-05-28 16:49:41;34;1
1153355;3022;2021-05-28 17:49:42;34;1
1153356;3022;2021-05-28 18:09:42;34;1
1153357;3022;2021-05-28 18:49:42;33;1
1153358;3022;2021-05-28 19:29:42;32.5;1
1153359;3022;2021-05-29 11:44:45;29.5;1
1153360;3022;2021-05-29 12:39:45;30;1
1153361;3022;2021-05-29 13:39:45;30.5;1
1153362;3022;2021-05-29 13:59:45;30.5;1
1153363;3022;2021-05-29 15:19:45;33;1
1153364;3022;2021-05-29 15:34:45;33.5;1
1153365;3022;2021-05-29 17:19:46;33.5;1
1153366;3022;2021-05-29 17:44:46;33.5;1
1153367;3022;2021-05-30 02:34:47;26.5;1
1153368;3022;2021-05-30 09:39:49;26.5;1
1153369;3022;2021-05-30 11:19:49;27;1
1153370;3022;2021-05-30 12:49:49;30.5;1
1153371;3022;2021-05-30 13:34:49;32.5;1
1153372;3022;2021-05-30 14:04:49;32.5;1
1153373;3022;2021-05-30 14:34:50;33;1
1153374;3022;2021-05-30 15:09:50;33;1
1153375;3022;2021-05-30 15:34:50;33;1
1153376;3022;2021-05-30 16:14:50;33;1
1153377;3022;2021-05-30 17:04:50;33.5;1
1153378;3022;2021-05-30 18:09:50;33;1
1153379;3022;2021-05-30 18:49:50;33;1
1153380;3022;2021-05-30 19:04:50;33;1
1153381;3022;2021-05-31 09:54:53;26.5;1
1153382;3022;2021-05-31 10:39:53;26.5;1
1153383;3022;2021-05-31 11:19:53;26.5;1
1153384;3022;2021-05-31 11:39:53;29.5;1
1153385;3022;2021-05-31 12:44:54;30.5;1
1153386;3022;2021-05-31 14:14:54;33;1
1153387;3021;2021-05-28 15:34:41;5.52901;1
1153388;3021;2021-05-28 16:49:41;5.90678;1
1153389;3021;2021-05-28 17:49:42;6.46916;1
1153390;3021;2021-05-28 18:09:42;6.46916;1
1153391;3021;2021-05-28 18:49:42;6.73869;1
1153392;3021;2021-05-28 19:29:42;5.78965;1
1153393;3021;2021-05-29 11:44:45;6.36082;1
1153394;3021;2021-05-29 12:39:45;6.28013;1
1153395;3021;2021-05-29 13:39:45;7.33348;1
1153396;3021;2021-05-29 13:59:45;7.33348;1
1153397;3021;2021-05-29 15:19:45;5.04083;1
1153398;3021;2021-05-29 15:34:45;5.23641;1
1153399;3021;2021-05-29 17:19:46;5.68859;1
1153400;3021;2021-05-29 17:44:46;6.22656;1
1153401;3021;2021-05-30 02:34:47;8.91123;1
1153402;3021;2021-05-30 09:39:49;6.6106;1
1153403;3021;2021-05-30 11:19:49;7.1239;1
1153404;3021;2021-05-30 12:49:49;5.42125;1
1153405;3021;2021-05-30 13:34:49;6.90724;1
1153406;3021;2021-05-30 14:04:49;6.90724;1
1153407;3021;2021-05-30 14:34:50;6.29762;1
1153408;3021;2021-05-30 15:09:50;6.29762;1
1153409;3021;2021-05-30 15:34:50;6.03821;1
1153410;3021;2021-05-30 16:14:50;6.03821;1
1153411;3021;2021-05-30 17:04:50;5.83866;1
1153412;3021;2021-05-30 18:09:50;7.34166;1
1153413;3021;2021-05-30 18:49:50;5.85235;1
1153414;3021;2021-05-30 19:04:50;5.85235;1
1153415;3021;2021-05-31 09:54:53;6.39844;1
1153416;3021;2021-05-31 10:39:53;6.4195;1
1153417;3021;2021-05-31 11:19:53;6.4195;1
1153418;3021;2021-05-31 11:39:53;5.42955;1
1153419;3021;2021-05-31 12:44:54;5.87622;1
1153420;3021;2021-05-31 14:14:54;4.94773;1
1153421;3020;2021-05-28 15:04:41;61;1
1153422;3020;2021-05-28 15:29:41;63;1
1153423;3020;2021-05-28 16:09:41;63;1
1153424;3020;2021-05-28 16:29:41;65;1
1153425;3020;2021-05-28 17:14:49;65;1
1153426;3020;2021-05-28 17:49:50;67;1
1153427;3020;2021-05-28 17:59:42;67;1
1153428;3020;2021-05-28 18:49:49;69;1
1153429;3020;2021-05-28 19:39:42;71;1
1153430;3020;2021-05-29 08:59:44;97;1
1153431;3020;2021-05-29 10:49:44;101;1
1153432;3020;2021-05-29 11:44:52;103;1
1153433;3020;2021-05-29 12:44:45;105;1
1153434;3020;2021-05-29 12:54:45;105;1
1153435;3020;2021-05-29 13:49:45;107;1
1153436;3020;2021-05-29 13:54:45;107;1
1153437;3020;2021-05-29 14:54:45;109;1
1153438;3020;2021-05-29 16:29:46;111;1
1153439;3020;2021-05-29 16:34:46;113;1
1153440;3020;2021-05-29 17:14:46;113;1
1153441;3020;2021-05-30 10:24:55;147;1
1153442;3020;2021-05-30 10:59:49;149;1
1153443;3020;2021-05-30 11:54:49;151;1
1153444;3020;2021-05-30 12:39:49;153;1
1153445;3020;2021-05-30 12:54:49;153;1
1153446;3020;2021-05-30 13:44:57;155;1
1153447;3020;2021-05-30 13:54:57;155;1
1153448;3020;2021-05-30 14:34:58;157;1
1153449;3020;2021-05-30 14:54:50;157;1
1153450;3020;2021-05-30 15:34:57;159;1
1153451;3020;2021-05-30 15:59:50;159;1
1153452;3020;2021-05-30 17:04:57;161;1
1153453;3020;2021-05-30 17:59:50;163;1
1153454;3020;2021-05-30 18:49:57;165;1
1153455;3020;2021-05-30 18:59:50;165;1
1153456;3020;2021-05-31 07:44:53;191;1
1153457;3020;2021-05-31 09:55:00;195;1
1153458;3020;2021-05-31 10:40:01;197;1
1153459;3020;2021-05-31 11:00:00;197;1
1153460;3020;2021-05-31 11:49:53;199;1
1153461;3020;2021-05-31 12:14:53;199;1
1153462;3020;2021-05-31 13:04:54;201;1
1153463;3020;2021-05-31 13:39:54;203;1
1153464;3020;2021-05-31 14:04:54;203;1
1153465;3019;2021-05-28 15:04:41;16;1
1153466;3019;2021-05-28 15:29:41;16;1
1153467;3019;2021-05-28 16:09:41;16;1
1153468;3019;2021-05-28 16:29:41;14;1
1153469;3019;2021-05-28 17:14:49;14;1
1153470;3019;2021-05-28 17:49:50;20;1
1153471;3019;2021-05-28 17:59:42;20;1
1153472;3019;2021-05-28 18:49:49;20;1
1153473;3019;2021-05-28 19:39:42;16;1
1153474;3019;2021-05-29 08:59:44;15;1
1153475;3019;2021-05-29 10:49:44;18;1
1153476;3019;2021-05-29 11:44:52;18;1
1153477;3019;2021-05-29 12:44:45;21;1
1153478;3019;2021-05-29 12:54:45;21;1
1153479;3019;2021-05-29 13:49:45;25;1
1153480;3019;2021-05-29 13:54:45;25;1
1153481;3019;2021-05-29 14:54:45;15;1
1153482;3019;2021-05-29 16:29:46;25;1
1153483;3019;2021-05-29 16:34:46;14;1
1153484;3019;2021-05-29 17:14:46;14;1
1153485;3019;2021-05-30 10:24:55;22;1
1153486;3019;2021-05-30 10:59:49;17;1
1153487;3019;2021-05-30 11:54:49;33;1
1153488;3019;2021-05-30 12:39:49;22;1
1153489;3019;2021-05-30 12:54:49;22;1
1153490;3019;2021-05-30 13:44:57;14;1
1153491;3019;2021-05-30 13:54:57;14;1
1153492;3019;2021-05-30 14:34:58;19;1
1153493;3019;2021-05-30 14:54:50;19;1
1153494;3019;2021-05-30 15:34:57;16;1
1153495;3019;2021-05-30 15:59:50;16;1
1153496;3019;2021-05-30 17:04:57;15;1
1153497;3019;2021-05-30 17:59:50;32;1
1153498;3019;2021-05-30 18:49:57;19;1
1153499;3019;2021-05-30 18:59:50;19;1
1153500;3019;2021-05-31 07:44:53;18;1
1153501;3019;2021-05-31 09:55:00;33;1
1153502;3019;2021-05-31 10:40:01;21;1
1153503;3019;2021-05-31 11:00:00;21;1
1153504;3019;2021-05-31 11:49:53;19;1
1153505;3019;2021-05-31 12:14:53;19;1
1153506;3019;2021-05-31 13:04:54;13;1
1153507;3019;2021-05-31 13:39:54;15;1
